"allele"	"logit_of_percentage"	"estimated_transmission_percentage"	"lower_confidence_interval"	"upper_confidence_interval"	"raw_p_value"	"adj_p_value"	"expression_category"
"R01G01"	-0.0295310889996937	0.492617764237169	0.466423310440582	0.518852812215309	0.581527566993791	0.97882382991883	"Full"
"R02A05"	-0.0657877405380029	0.483558994197292	0.461852663487301	0.50532754118888	0.138764481034758	0.645574486065308	"Full"
"R02D02"	-0.0134859856854755	0.496628554676048	0.467324219498452	0.525956070898697	0.821871817470353	0.97882382991883	"Full"
"R04A02"	-0.239433779862455	0.440425891499071	0.41843258356399	0.46265556308846	1.72122200048364e-07	2.04087751485917e-06	"Full"
"R04G10"	-0.0198505670838153	0.495037521181312	0.468408056501238	0.521695170711223	0.715348687704038	0.97882382991883	"Full"
"R06C04"	-0.0227418538361957	0.494314781567923	0.470138046611972	0.518518133975186	0.645345745298331	0.97882382991883	"Full"
"R08A07"	0.0417238433714003	0.510429447852761	0.480412160012754	0.54037171235256	0.495983728302717	0.97882382991883	"Full"
"R101B03"	-0.0413010364455838	0.489676208352886	0.463477254156196	0.515931998543094	0.44096357565131	0.97882382991883	"Full"
"R102H01"	-0.406485204085636	0.399755201958384	0.381327984934879	0.418470574903361	0	0	"Full"
"R103E04"	0.0443154577931403	0.511077051692908	0.490840944930227	0.53127691723501	0.283320151991591	0.97882382991883	"Full"
"R105B06"	0.0511739555247085	0.512790697674419	0.479047120924798	0.54641808868937	0.457623309299675	0.97882382991883	"Full"
"R106E07"	-0.0543767708780717	0.486409155937053	0.457502470113086	0.515407047493336	0.358320943356812	0.97882382991883	"Full"
"R106F04"	-0.0269955043420115	0.493251533742331	0.463292255262965	0.523259356721241	0.659538178135646	0.97882382991883	"Full"
"R106G12"	0.0191291699089953	0.504782146652497	0.479801764355036	0.529738676341364	0.707621816398263	0.97882382991883	"Full"
"R107C12"	-0.0298529631496812	0.492537313432836	0.470851726861664	0.514251018173708	0.500613745538146	0.97882382991883	"Full"
"R108A02"	-0.0930904230660117	0.476744186046512	0.450455725419483	0.503162133713606	0.0844356777069688	0.500582946405601	"Full"
"R12H07"	-0.0513719694987196	0.487159831353009	0.453719276211407	0.520715729047094	0.453364826087078	0.97882382991883	"Full"
"R21D01"	0.0105821093305371	0.502645502645503	0.46116095136451	0.544093662255808	0.900718482941683	0.97882382991883	"Full"
"R21D07"	-0.0358782876649019	0.491031390134529	0.450601527144277	0.531578911121728	0.664937450767221	0.97882382991883	"Full"
"R23D05"	-0.0195956629450503	0.495101241018942	0.469843275354086	0.520384235749186	0.704244624548753	0.97882382991883	"Full"
"R24D03"	0.0491951044462755	0.512296296296296	0.482790276945444	0.541716870223217	0.414099646687998	0.97882382991883	"Full"
"R26G07"	0.00893306188547549	0.502233250620348	0.475250972791961	0.529202527231291	0.871226842873849	0.97882382991883	"Full"
"R27E01"	-0.0337916900227808	0.491552881277482	0.465525961740063	0.517625671247162	0.525522137339329	0.97882382991883	"Full"
"R29A11"	-0.034814681882446	0.491297208538588	0.460311175420417	0.522350253308908	0.582959194586694	0.97882382991883	"Full"
"R31B01"	-0.0602466690560304	0.484942886812046	0.453169729618643	0.516838227726664	0.354851301158572	0.97882382991883	"Full"
"R31B05"	-0.0167779463622956	0.495805611802141	0.466699527979983	0.524940152100402	0.777963684753726	0.97882382991883	"Full"
"R31H05"	0.011057982195652	0.502764467379285	0.469890471945434	0.535614578977566	0.869229086611734	0.97882382991883	"Full"
"R32B05"	-0.0329319187379725	0.491767764298094	0.466583338278995	0.516994041790717	0.522511224142663	0.97882382991883	"Full"
"R33F03"	-0.181321342378925	0.454793452844895	0.431084541530295	0.478709116346758	0.000217462727701623	0.00225617579990434	"Full"
"R34C11"	0.00285714480077968	0.500714285714286	0.474286816652775	0.527137764449557	0.957788658600009	0.97882382991883	"Full"
"R35A03"	0.0970004964738548	0.524231127679403	0.502861223611166	0.545512664697876	0.0262728731813178	0.16774219031149	"Full"
"R35A08"	-0.044002041390381	0.489001264222503	0.461810327874288	0.51625744329607	0.429050417261218	0.97882382991883	"Full"
"R37A04"	0.0645754153802286	0.516138246215367	0.495648016001922	0.536574358133774	0.122640007650045	0.636195039684607	"Full"
"R39B06"	-0.0101868453069928	0.497453310696095	0.468659091501102	0.526264432069691	0.862571051858497	0.97882382991883	"Full"
"R41F01"	-0.0485925552368653	0.487854251012146	0.460657874439432	0.515122728798014	0.382694668693083	0.97882382991883	"Full"
"R44E07"	-0.0854177511543518	0.478658536585366	0.445370531308097	0.512137158790026	0.211447340965409	0.877506465006449	"Full"
"R45E04"	0.00406174400817817	0.501015434606012	0.476604157230477	0.525421872056512	0.935066938538234	0.97882382991883	"Full"
"R46C04"	0.0442402700674546	0.511058263971462	0.484624033600343	0.537430791120727	0.412306462330312	0.97882382991883	"Full"
"R48D04"	-0.0571584138399485	0.485714285714286	0.431367027388472	0.540401490075356	0.609161235808994	0.97882382991883	"Full"
"R49F11"	-0.229958367471849	0.442762417114976	0.423808285943693	0.461884716584261	5.27843857511812e-09	7.30184002891339e-08	"Full"
"R52B09"	0.0127874560851256	0.503196820459651	0.480672676894133	0.525707996041678	0.780966852022131	0.97882382991883	"Full"
"R52E07"	-0.070551110991965	0.482369534555712	0.456176871218891	0.508659441886938	0.18867063651442	0.824192780562992	"Full"
"R53C03"	0.0310771664429746	0.507768666378938	0.482592189615739	0.53290580153947	0.545413130622979	0.97882382991883	"Full"
"R53F11"	0.00143712599584826	0.500359281437126	0.473853925611912	0.526862618156041	0.97882382991883	0.97882382991883	"Full"
"R59F11"	-0.00917055197220805	0.497707378074198	0.46277843508318	0.532658712440227	0.89783795518117	0.97882382991883	"Full"
"R60D10"	0.0543767708780723	0.513590844062947	0.487118200870906	0.539987454124116	0.314299099479203	0.97882382991883	"Full"
"R63C12"	-0.00247371802087811	0.499381570810142	0.469277560055265	0.529490065858627	0.967924142371877	0.97882382991883	"Full"
"R63F09"	-0.00415801014866381	0.498960498960499	0.475414399972767	0.522511209422298	0.931104924814261	0.97882382991883	"Full"
"R65A10"	0.0208574864178047	0.505214182576608	0.483506960312144	0.526901764960233	0.637871940095866	0.97882382991883	"Full"
"R65E02"	-0.00805064727716704	0.497987349051179	0.468960888678902	0.527027381823987	0.892046689032226	0.97882382991883	"Full"
"R67C09"	-0.119787957498129	0.470088768815129	0.446404535822326	0.493908482418701	0.0138753720534086	0.115165588043291	"Full"
"R67H12"	-0.0506931143155179	0.487329434697856	0.456529671927741	0.518225717746576	0.421586077280173	0.97882382991883	"Full"
"R69C04"	0.0018060326382744	0.500451508036843	0.477430401324717	0.52347070061597	0.969356997682376	0.97882382991883	"Full"
"R72D11"	-0.0355235078530378	0.491120056831636	0.464795292017539	0.517494159398906	0.509400758939315	0.97882382991883	"Full"
"R72F03"	0.0210042727705325	0.505250875145858	0.481353514879289	0.529124267310578	0.666823346443128	0.97882382991883	"Full"
"R75H08"	-0.172093666610698	0.45708245243129	0.422234113289948	0.492355966134792	0.0171501910397218	0.129405986936083	"Full"
"R76E07"	-0.0248074737042678	0.493798449612403	0.460132747583226	0.527520484076348	0.71872817753589	0.97882382991883	"Full"
"R77F09"	-0.0741079721537219	0.481481481481482	0.456974155400124	0.506078234030708	0.140004105411754	0.645574486065308	"Full"
"R80E09"	-0.0408758288719676	0.489782465392222	0.458748142566327	0.52089574793938	0.519928078847909	0.97882382991883	"Full"
"R81E02"	-0.0281615429924298	0.49296007950969	0.470928393363958	0.515019142200308	0.531707161267298	0.97882382991883	"Full"
"R81G05"	0.00261552023560325	0.500653879686138	0.475366796656718	0.525937618235578	0.959611357136477	0.97882382991883	"Full"
"R82A03"	-0.616628987909485	0.350548523206751	0.329604585295046	0.372084651469409	0	0	"Full"
"R82B10"	-0.0555698511548107	0.486111111111111	0.455045431125076	0.517284476609671	0.38257143053515	0.97882382991883	"Full"
"R83A02"	-0.0541044950649388	0.486477174849268	0.464029493149843	0.508979542392489	0.238833748459335	0.943961958196421	"Full"
"R83B04"	-0.0358539218462456	0.491037479630636	0.462851059347346	0.519280997588493	0.534079566015663	0.97882382991883	"Full"
"R83H05"	-0.070775547593119	0.482313495389774	0.460182100486408	0.50451449796761	0.118397368269774	0.636195039684607	"Full"
"R84A12"	-0.874891425685792	0.294237518396921	0.277892556410067	0.311129631726762	0	0	"Full"
"R85A08"	0.0129642357867148	0.503241013553329	0.473840680711165	0.532618950799312	0.829074822462008	0.97882382991883	"Full"
"R87A03"	-0.0022011895306399	0.499449702839533	0.474040999836705	0.524861248348172	0.966172195417133	0.97882382991883	"Full"
"R88B08"	-0.0101352218940431	0.497466216216216	0.468744819215804	0.526204344711112	0.862916248004663	0.97882382991883	"Full"
"R88H09"	-0.0433444303371431	0.489165588615783	0.467406989138761	0.51096532023792	0.330009238153876	0.97882382991883	"Full"
"R89B08"	-0.406611678078987	0.39972485478447	0.379153514448648	0.420656084569803	0	0	"Full"
"R90C03"	0.0311604158150624	0.50778947368421	0.482922005461883	0.532618456682262	0.539342048547045	0.97882382991883	"Full"
"R91F11"	0.00297840875426095	0.500744601638124	0.477372492882041	0.524113456898225	0.950243996613863	0.97882382991883	"Full"
"R91G06"	0.0321571116345316	0.508038585209003	0.478740988684097	0.537281072018026	0.59087583626713	0.97882382991883	"Full"
"R92A10"	-0.0108992904580356	0.497275204359673	0.47492621903844	0.519635083096554	0.811309334298378	0.97882382991883	"Full"
"R92F08"	-0.17424850487503	0.456547761551353	0.430271657874738	0.48306794514279	0.00134156226749793	0.0123721853558143	"Full"
"R96B12"	-0.0857294580711874	0.478580752343657	0.459963285732582	0.497257911944973	0.0246069703262521	0.16774219031149	"Full"
"R96C12"	-0.420566196819865	0.396381272150718	0.380305096056413	0.412684459660754	0	0	"Full"
"R97C08"	0.0155412572112119	0.503885236102809	0.462048430970306	0.545667705413333	0.855817687688608	0.97882382991883	"Full"
"R98H08"	-0.0113422766039346	0.497164461247637	0.46903437079597	0.525312513878498	0.843600458416721	0.97882382991883	"Full"
"R98H09"	-0.0300158959402657	0.492496589358799	0.466694614359036	0.518338598059124	0.569397815243259	0.97882382991883	"Full"
"R99B02"	-0.0687017082879226	0.482831325301205	0.453194685338938	0.512589240066303	0.258106421958884	0.973765137390337	"Full"
