"allele"	"logit_of_percentage"	"estimated_transmission_percentage"	"lower_confidence_interval"	"upper_confidence_interval"	"raw_p_value"	"adj_p_value"	"expression_category"
"R139D08"	0.206590712751799	0.551464766429137	0.513292638529193	0.589040032097875	0.00830429137019939	0.0491337239403464	"Vegetative Cell High"
"R88A04"	0.187000348845545	0.546614327772326	0.507147210476459	0.585504052887209	0.0206835771604743	0.0755890728955516	"Unknown"
"R131H11"	0.178027279655758	0.544389642416769	0.513127212527777	0.575306116290603	0.0054333061333518	0.0295160684541544	"Unknown"
"R78B01"	0.160785690270835	0.540110049232551	0.518041601373405	0.562022323978823	0.000374681620212369	0.00187340810106185	"Sperm Cell"
"R172B11"	0.138726209501627	0.534626038781163	0.495168642292968	0.573654794230901	0.0853766558918274	0.241805143272811	"Sperm Cell"
"R96B12"	0.120144311842063	0.53	0.457339378010622	0.601410821576881	0.418721503476952	0.593799588897664	"Unknown"
"R79D11"	0.109302466650143	0.527298444130127	0.506123818721625	0.54837531291412	0.0115334535518632	0.0545144051020649	"Unknown"
"R161H06"	0.100702845383845	0.525154457193292	0.494265733150676	0.555851884538189	0.110411087987573	0.419562134352779	"Sperm Cell High"
"R35A03"	0.0970004964738549	0.524231127679403	0.501792553598543	0.546572295712458	0.034310106229495	0.144864892968979	"Sperm Cell High"
"R145H11"	0.0964182131586868	0.524085896691817	0.493746769662485	0.554248285458796	0.119654543205195	0.25806318125885	"Unknown"
"R117B05"	0.0872780081070609	0.521805661820964	0.478660930541639	0.564627484975004	0.321884228903964	0.909731612390962	"Vegetative Cell"
"R55G09"	0.0771784560733911	0.51928504233302	0.480670265234949	0.557670795564439	0.32765576076178	0.510533394675332	"Unknown"
"R37A04"	0.0645754153802291	0.516138246215367	0.494624034477028	0.53759280334678	0.141474519594256	0.488730158598338	"Sperm Cell High"
"R160H06"	0.0640844228931828	0.516015625	0.491132556396301	0.540819533972987	0.20708952666704	0.361840787717552	"Unknown"
"R111F12"	0.0605350842777622	0.515129151291513	0.466268427431966	0.563702361109267	0.544268372633028	0.83772364741142	"Sperm Cell High"
"R170B03"	0.0595216989593566	0.514876033057851	0.478693008797875	0.550903781541683	0.420439864018498	0.593799588897664	"Unknown"
"R150E12"	0.0556213789540701	0.513901760889713	0.486803056030384	0.540918979406221	0.314664300450602	0.494121284301336	"Unknown"
"R60D10"	0.0543767708780726	0.513590844062947	0.485796158446801	0.541301724761029	0.33788233668782	0.802470549633572	"Sperm Cell High"
"R193F12"	0.0519327487416431	0.512980269989616	0.472437315194092	0.553353137637004	0.530549701517576	0.683592884647646	"Unknown"
"R105B06"	0.0511739555247082	0.512790697674419	0.477363578686971	0.548089770180183	0.479305575798369	0.83772364741142	"Sperm Cell High"
"R36H01"	0.0509581175786478	0.512736773350751	0.480570784445928	0.544797613745454	0.43777692918391	0.606849398385971	"Unknown"
"R20E01"	0.0502751371640104	0.512566137566138	0.480199342927117	0.544827892407526	0.446780018050681	0.614842850390744	"Unknown"
"R24D03"	0.0491951044462749	0.512296296296296	0.479297597099552	0.545188160787297	0.465285533079864	0.939926809082556	"Vegetative Cell High"
"R47C07"	0.0475471559298353	0.51188455008489	0.47522425630897	0.54841743545549	0.52535597164036	0.682785393780487	"Unknown"
"R103E04"	0.0443154577931408	0.511077051692908	0.488443555227485	0.533665220836838	0.337448829426538	0.939926809082556	"Vegetative Cell High"
"R46C04"	0.0442402700674546	0.511058263971462	0.491601888614393	0.530481191644495	0.265278243412319	0.956843957979002	"Seedling Only"
"R187H03"	0.043683938861559	0.510919248349416	0.480370854765726	0.541386301079533	0.483670259992247	0.939926809082556	"Vegetative Cell High"
"R170G12"	0.0426460560491389	0.510659898477157	0.470137547089973	0.551042635247682	0.606414936306068	0.83772364741142	"Sperm Cell High"
"R162C01"	0.0423877783499825	0.510595358224016	0.470638721059468	0.550417065085817	0.603520835258087	0.745079027379275	"Unknown"
"R08A07"	0.0417238433713999	0.510429447852761	0.476860094173587	0.543904999762786	0.542730174828985	0.939926809082556	"Vegetative Cell High"
"R100H04"	0.0391070832457666	0.509775524981897	0.480112104541148	0.5393702651716	0.520194209137338	0.909731612390962	"Vegetative Cell"
"R140D12"	0.0336166107989852	0.508403361344538	0.467198345400167	0.549494519123724	0.68968075473344	0.845415118705507	"Sperm Cell High"
"R91G06"	0.032157111634531	0.508038585209003	0.486471287873193	0.52957600318846	0.465116745251897	0.956843957979002	"Seedling Only"
"R90C03"	0.0311604158150623	0.50778947368421	0.479978280569522	0.535552539602389	0.583159586222648	0.939926809082556	"Vegetative Cell High"
"R53C03"	0.0310771664429745	0.507768666378938	0.481335503558635	0.534158465479534	0.564700252582098	0.83772364741142	"Sperm Cell High"
"R132G11"	0.0282406679427514	0.507059697795393	0.478743322190393	0.535330852012197	0.625229930269237	0.83772364741142	"Sperm Cell High"
"R65A03"	0.0273632707409434	0.506840390879479	0.474733200488351	0.538891257168933	0.676453097827723	0.821439052738536	"Unknown"
"R51E11"	0.0267433249755111	0.506685432793807	0.473318260455506	0.539993153814076	0.694749447589806	0.821439052738536	"Unknown"
"R74E06"	0.0267330621970688	0.506682867557716	0.475675698063835	0.537638711313794	0.672891943494486	0.821439052738536	"Unknown"
"R117B01"	0.0248562921062457	0.506213753106877	0.470018045719952	0.542344440884337	0.736758607648363	0.856002775360237	"Unknown"
"R65A07"	0.0241807981972148	0.506044905008636	0.469094138330001	0.542929752113336	0.748734523304475	0.864917466575859	"Unknown"
"R04A02"	0.0219789067187751	0.505494505494505	0.429778997420965	0.580958826338642	0.887583015822476	0.947998973349428	"Unknown"
"R72F03"	0.0210042727705324	0.505250875145858	0.478525069241506	0.531946707109188	0.700312077949303	0.972602264287372	"Vegetative Cell High"
"R65A10"	0.0208574864178047	0.505214182576608	0.489236224058382	0.521181497786553	0.522461430662263	0.956843957979002	"Seedling Only"
"R106G12"	0.0191291699089953	0.504782146652497	0.478555230341289	0.530982771698317	0.720938882231434	0.856114922649828	"Sperm Cell High"
"R172F04"	0.0189280098855184	0.504731861198738	0.461020569841487	0.548370937115535	0.832268653238768	0.909731612390962	"Vegetative Cell"
"R171A01"	0.0160163583885742	0.504004004004004	0.461187300242925	0.546762061071233	0.854833123901477	0.972602264287372	"Vegetative Cell High"
"R97C08"	0.0155412572112116	0.503885236102809	0.457114364765265	0.550588209965527	0.870951913180998	0.972602264287372	"Vegetative Cell High"
"R137H01"	0.0135035810346743	0.50337584396099	0.468940665309262	0.537779026802415	0.847801716866667	0.931192049673225	"Unknown"
"R151G05"	0.0130266714000087	0.503256621797655	0.470797361094074	0.535688455024287	0.844263158445779	0.909731612390962	"Vegetative Cell"
"R85A08"	0.0129642357867141	0.503241013553329	0.470364614110714	0.536089411094766	0.846947234958113	0.972602264287372	"Vegetative Cell High"
"R52B09"	0.0127874560851259	0.503196820459651	0.48661646548725	0.519770147468338	0.705558759537789	0.956843957979002	"Seedling Only"
"R183D03"	0.0124556770469198	0.503113879003559	0.465209217929612	0.540982781198354	0.872270869302857	0.980517415405445	"Sperm Cell High"
"R185F03"	0.0112418148662489	0.502810424118549	0.474380155291717	0.531222531099766	0.846490898097044	0.931192049673225	"Unknown"
"R06C04"	0.0111112254250703	0.502777777777778	0.436779080561178	0.568679817593973	0.934591456524388	0.971251263474322	"Unknown"
"R31H05"	0.0110579821956518	0.502764467379285	0.466006447276798	0.53949262911586	0.882978537405382	0.972602264287372	"Vegetative Cell High"
"R21D01"	0.010582109330537	0.502645502645503	0.472086621029714	0.533184632562194	0.865391050475034	0.956843957979002	"Seedling Only"
"R114E09"	0.00959568706185575	0.502398903358465	0.455397840129317	0.549357608481715	0.920516103780576	0.988211326485624	"Sperm Cell High"
"R26G07"	0.00893306188547529	0.502233250620347	0.473905281346017	0.530546889859674	0.877305055889082	0.980517415405445	"Sperm Cell High"
"R98E11"	0.00833772417409373	0.502084418968213	0.471167775771139	0.532985131152941	0.894979577771412	0.972602264287372	"Vegetative Cell High"
"R25B05"	0.00761618304530889	0.501904036557502	0.477357263537381	0.526441634747648	0.879238486774081	0.947998973349428	"Unknown"
"R32H08"	0.00723185152649509	0.501807955002009	0.470587474908731	0.53301434329863	0.909731612390962	0.909731612390962	"Vegetative Cell"
"R183A02"	0.00721446014933273	0.501803607214429	0.476621840137925	0.52697622784787	0.888434747135649	0.947998973349428	"Unknown"
"R163E02"	0.00700528258840859	0.501751313485114	0.475434043838545	0.528058882930031	0.896304903074184	0.948196239567952	"Unknown"
"R154A12"	0.00539448374935613	0.501348617666892	0.478250813511858	0.52444066722159	0.908945125444778	0.952217048289009	"Unknown"
"R160G03"	0.00516352266004875	0.501290877796902	0.461594973857066	0.540970515338329	0.94927673235441	0.972602264287372	"Vegetative Cell High"
"R175H06"	0.0047318700278332	0.501182965299684	0.463176733925368	0.539175531415253	0.951440387495605	0.972602264287372	"Vegetative Cell High"
"R45E04"	0.00406174400817794	0.501015434606011	0.4737164163757	0.528308400242988	0.941933701430711	0.972602264287372	"Vegetative Cell High"
"R91F11"	0.00297840875426097	0.500744601638124	0.476206452760082	0.525279164311628	0.952608891808224	0.988211326485624	"Sperm Cell High"
"R34C11"	0.00285714480078013	0.500714285714286	0.471161667264344	0.53026191438378	0.962257404846633	0.972602264287372	"Vegetative Cell High"
"R81G05"	0.00261552023560323	0.500653879686138	0.472375975102616	0.52892760193494	0.963887427528085	0.972602264287372	"Vegetative Cell High"
"R69C04"	0.00180603263827457	0.500451508036843	0.474706718506939	0.526193903732181	0.972602264287372	0.972602264287372	"Vegetative Cell High"
"R53F11"	0.00143712599584796	0.500359281437126	0.48084467682252	0.519872791540696	0.971228639167088	0.971228639167088	"Seedling Only"
"R47G10"	0.00135043909787146	0.50033760972316	0.467676149578424	0.532996188902687	0.983858715796209	0.992113467252104	"Unknown"
"R187B08"	-1.38777878078145e-17	0.5	0.455726288092322	0.544273711907678	1	1	"Unknown"
"R146C12"	-0.000736377058311921	0.499815905743741	0.475415632973966	0.524217055383601	0.988211326485624	0.988211326485624	"Sperm Cell High"
"R167D07"	-0.00085215173456582	0.49978696207925	0.473829868290426	0.525745204228787	0.987177579355328	0.992113467252104	"Unknown"
"R124G03"	-0.000964785410098715	0.499758803666184	0.472142891702706	0.527376187273487	0.986356542603778	0.992113467252104	"Unknown"
