"allele"	"logit_of_percentage"	"estimated_transmission_percentage"	"lower_confidence_interval"	"upper_confidence_interval"	"raw_p_value"	"adj_p_value"	"expression_category"
"R145H11"	0.100379185307623	0.525073746312684	0.478258994243501	0.571451883265519	0.293787779629721	0.831935498974037	"Vegetative Cell High"
"R35A03"	0.0879687729459575	0.521978021978022	0.499576426462139	0.544291560083967	0.0544890876110999	0.228122267584512	"Sperm Cell High"
"R150E12"	0.0757315687761095	0.518923848609211	0.491362118330279	0.54637088929639	0.178344999327746	0.370163133476181	"Sperm Cell"
"R37A04"	0.0645754153802285	0.516138246215367	0.500716699252383	0.531529117784278	0.0402651853016995	0.140928148555948	"Sperm Cell"
"R60D10"	0.0543767708780715	0.513590844062947	0.484455287003462	0.542634328723396	0.360598076610884	0.75397779655003	"Sperm Cell High"
"R24D03"	0.0491951044462699	0.512296296296295	0.47914148199445	0.545343264294367	0.467392199842615	0.831935498974037	"Vegetative Cell High"
"R103E04"	0.0443154577931405	0.511077051692908	0.487793640006502	0.534312498316526	0.351112758425298	0.85270241331858	"Vegetative Cell"
"R46C04"	0.0442402700674546	0.511058263971462	0.491875243604595	0.530208769122209	0.258527296628817	0.961729546007707	"Seedling Only"
"R117B01"	0.0438026226583932	0.510948905109489	0.454889589271845	0.56673416688248	0.702453731358368	0.970964706385021	"Vegetative Cell"
"R08A07"	0.0417238433713994	0.510429447852761	0.476701330861446	0.54406287497371	0.54463440674595	0.831935498974037	"Vegetative Cell High"
"R78B01"	0.0405211974056396	0.510128913443831	0.490600597740993	0.529626363618307	0.309343720794539	0.680556185747986	"Low"
"R51E11"	0.0401994528323036	0.51004851004851	0.470348899303188	0.54962177661129	0.620100122325138	0.743210135566951	"Low"
"R140D12"	0.033616610798985	0.508403361344538	0.465216067218362	0.551465595515428	0.703276447400583	0.887664241849616	"Sperm Cell High"
"R91G06"	0.0321571116345315	0.508038585209003	0.486774182074604	0.529273941788444	0.45877975622627	0.961729546007707	"Seedling Only"
"R53C03"	0.0310771664429745	0.507768666378938	0.480060967511496	0.535428722714558	0.582761516691567	0.887664241849616	"Sperm Cell High"
"R132G11"	0.0282406679427517	0.507059697795393	0.477378417510632	0.536691295929072	0.641244998300568	0.887664241849616	"Sperm Cell High"
