"allele"	"logit_of_percentage"	"estimated_transmission_percentage"	"lower_confidence_interval"	"upper_confidence_interval"	"raw_p_value"	"adj_p_value"
"R01C02"	-0.0468781176978087	0.488282616299405	0.458381947197692	0.518267374688923	0.443874302449358	0.874628894887205
"R01G01"	-0.0295310889996937	0.492617764237169	0.468112164172781	0.51715888916258	0.555561847529052	0.89950654471283
"R02A05"	-0.0657877405380029	0.483558994197292	0.463252016961655	0.503920414369502	0.113491321643558	0.527048933461913
"R02B06"	-0.0437010946619606	0.489076464746773	0.453473290578719	0.524790810026698	0.54904185523022	0.89950654471283
"R02D02"	-0.0134859856854758	0.496628554676048	0.469213461108979	0.524063935651989	0.809792588162488	0.988418333992562
"R02H02"	-0.035276311309304	0.491181836610582	0.468390856633598	0.514009530297164	0.449022521689499	0.874628894887205
"R03E12"	-0.182746275424251	0.454440154440154	0.423286830395031	0.485954308947606	0.0046498334802425	0.047583295947815
"R04A02"	-0.226778597119842	0.443547084477467	0.42340418916883	0.463877311951888	6.02340031186088e-08	9.24591947870645e-07
"R04G10"	-0.0198505670838156	0.495037521181312	0.470125257268801	0.519974450462139	0.696625910698381	0.921828252518978
"R06C04"	-0.0196703317477318	0.495082575616998	0.47326534917803	0.516918545168182	0.65902397180314	0.910761974207259
"R06G11"	-0.0562472520457029	0.485941893158388	0.451369843795417	0.520648995373626	0.427347434888514	0.868845447091217
"R06H11"	-0.0531374996971574	0.48671875	0.442144203823051	0.531505558305312	0.561395883819075	0.89950654471283
"R08A07"	0.0417238433713996	0.510429447852761	0.482350161814063	0.538443074673799	0.466697606611336	0.874628894887205
"R08E06"	0.0070220524737197	0.501755505904883	0.473135691715535	0.530363821182814	0.904393094335257	0.988418333992562
"R100G07"	-0.0661927812335978	0.483457844183565	0.446597560476452	0.520499012271786	0.381463790153781	0.862110308261568
"R100H04"	0.0391070832457675	0.509775524981897	0.479274003990074	0.540204434708678	0.530027158598003	0.898996340826448
"R101B03"	-0.0413010364455838	0.489676208352886	0.465165905979999	0.514236249165821	0.410048702374289	0.868845447091217
"R101C04"	-0.0660770905717877	0.483486735246345	0.446359429807857	0.520797238985285	0.385746021241087	0.862110308261568
"R102H01"	-0.383454930494222	0.405293880837359	0.389602672505589	0.421180990261505	0	0
"R103C03"	-0.114799153670978	0.471331689272503	0.443346958975196	0.49949779149246	0.0460568832004755	0.300839641330766
"R103E04"	0.0443154577931401	0.511077051692908	0.492148562814304	0.529973828030464	0.25137334630114	0.771716173144499
