"allele"	"logit_of_percentage"	"estimated_transmission_percentage"	"lower_confidence_interval"	"upper_confidence_interval"	"raw_p_value"	"adj_p_value"
"R01C02"	-0.060925354317141	0.484773371104817	0.45459485840522	0.515063337204484	0.324587168581707	0.731818139958774
"R01G01"	-0.0295310889996935	0.492617764237169	0.468020496079772	0.517250823722451	0.557039470016651	0.85179409143371
"R02A05"	-0.065787740538003	0.483558994197292	0.46317606321961	0.503996776686665	0.114845813272856	0.426776344062669
"R02B06"	-0.0437010946619608	0.489076464746773	0.453340461397953	0.524924471579377	0.550535272678347	0.85179409143371
"R02D02"	-0.0134859856854756	0.496628554676048	0.469110914533631	0.524166634338489	0.81048956163321	0.988503036207334
"R02H02"	-0.0352763113093038	0.491181836610582	0.468305590722753	0.514095071652417	0.450718499862662	0.823931399922
"R03E12"	-0.227718607684224	0.443315089913995	0.411969840913993	0.475118288873001	0.000494169340810924	0.00585400603729864
"R04A02"	-0.227797428242099	0.44329563812601	0.423077616630482	0.463703268916552	5.91452875564613e-08	9.10837428369504e-07
"R04G10"	-0.0198505670838152	0.495037521181312	0.470032051448566	0.520067841283876	0.69770319506901	0.922285768589078
"R06C04"	-0.0204734491517944	0.494881816489857	0.472950875817358	0.516832470314336	0.647757230976241	0.893172614657585
"R06G11"	-0.0926676888594074	0.476849642004773	0.441897248349572	0.512030259019619	0.197060782203046	0.580822466164369
"R06H11"	-0.0919823897116499	0.477020602218701	0.432075403927167	0.522341053750151	0.320318255768584	0.731818139958774
"R08A07"	0.0417238433714003	0.510429447852761	0.482244978155793	0.538547766077615	0.468363788516579	0.84360261323454
"R08E06"	-0.0161763475588786	0.49595600129408	0.467055135355037	0.524883916618322	0.784234504844798	0.988503036207334
"R100G07"	-0.094276587981042	0.476448294531673	0.439242917775446	0.513916910364211	0.217875091563686	0.61564704772124
"R100H04"	0.0391070832457682	0.509775524981897	0.479159787848868	0.540318106682876	0.531564993573573	0.85179409143371
"R101B03"	-0.0413010364455836	0.489676208352886	0.465074247099306	0.514328281126737	0.411799724670197	0.787790777629943
"R101C04"	-0.0781906103058982	0.480462300495322	0.442917523154692	0.518229043657128	0.310596280094403	0.731818139958774
"R102H01"	-0.383536063023365	0.405274325553198	0.389494045513414	0.421252795631618	0	0
